1579984126060;46
1579984126114;89
1579984126160;129
1579984126217;163
1579984126265;117
1579984126319;64
1579984126369;101
1579984126419;137
1579984126474;84
1579984126527;114
1579984126577;65
1579984126626;103
1579984126675;55
1579984126730;85
1579984126779;120
1579984126834;66
1579984126885;99
1579984126936;132
1579984126984;85
1579984127037;115
1579984127089;64
1579984127143;96
1579984127188;52
1579984127240;91
1579984127289;127
1579984127341;76
1579984127393;110
1579984127445;60
1579984127496;100
1579984127548;132
1579984127597;169
1579984127651;116
1579984127701;154
1579984127752;104
1579984127800;58
1579984127857;81
1579984127905;117
1579984127959;149
1579984128006;103
1579984128061;135
1579984128113;84
1579984128173;126
1579984128264;132
1579984128326;72
1579984128397;95
1579984128475;111
1579984128544;135
1579984128608;73
1579984128663;112
1579984128726;135
1579984128789;74
1579984128848;100
1579984128909;129
1579984128966;73
1579984129020;110
1579984129068;67
1579984129128;100
1579984129185;128
1579984129244;71
1579984129297;105
1579984129346;59
1579984129402;99
1579984129456;131
1579984129517;71
1579984129579;93
1579984129647;126
1579984129704;156
1579984129778;83
1579984129835;115
1579984129886;65
1579984129940;99
1579984129999;131
1579984130085;145
1579984130148;84
1579984130216;105
1579984130285;133
1579984130349;157
1579984130418;94
1579984130484;113
1579984130545;59
1579984130608;77
1579984130681;96
1579984130756;114
1579984130827;128
1579984130889;70
1579984130943;101
1579984130993;53
1579984131046;85
1579984131098;117
1579984131154;69
1579984131223;78
1579984131279;110
1579984131342;134
1579984131401;79
1579984131461;102
1579984131516;130
1579984131573;76
1579984131631;103
1579984131696;128
1579984131748;78
